	meta	yat	k/h	h-drop	r/r-drop	št/ć	č dev/ć dev	eu/au/ ev/av	sa dev/s dev	tko/ko	šta/što	da li/je li	usprkos/uprkos/unatoč	bre/bolan/ba	mnogo/puno/vrlo/jako	HR months/international months	tjedan/nedjelja/nedelja/sedmica	drug/prijatelj (m/f)	treba da/trebaXXX da	inf with -i/inf without -i	synt. future/no synt. future	da' in text	da pres	og/oga	irati/isati	irati/ovati	inf/verb ratio	sr cyrillic/mix cyrillic/latin
I'm at Dom Sindikata in Belgrade, Serbia w/ @stefkep https://t.co/YkEaKQuqQ9	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Jutarnja erekcija	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @glavijator: Baznija http://t.co/VMKEoMGLpW	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Levoruki Kolison, moje zapazanje	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @celava_ti_mama: "Reci mi, 2014., koliko ti je dana ostalo do kraja?" "Osam." "- KURCU TE NOSAM, -JGLUPLJA GODINO U MOM ŽIVOTU!"	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.25	latin
RT @slogirani_puz: Ali mama nisam bio pijan sinoć! -Jesi sine jesi, bacio si Hrčka i rekao Pikaču ja biram tebe!	-	-	-	-	-	-	c-dev	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@kumpn93 Oplakah svaki put kad pogledam :D	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
poštedite me vaših jutarnjih slika	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @Kraljj: @Nevena_Nensiika @Tejaa_98 ste vi normalne vise?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
I'm at Ozren http://t.co/EhpNtbe3Gs	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Iduci __mjesec__ 4 godine firme i mojeg "direktorovanja". Koliko ono mandata mozes / moras __raditi__ kao direktor?	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.33	latin
Najlepša balegica na svetu :) ★ @ Zagoric http://t.co/L804DSJ5Yn	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Hvala tempu __sto__ radi 24h za domacice kao ja,koja u 1h ujutru kupuje stvari za kucu ;)))	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
PRODAJEM DVE KARTE ZA 5000!!! PLS RT!!! #EXIT2013 0642051514	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Today stats: One follower, One unfollower via http://t.co/8emrlo20xG	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
#Fantasy #clear #stars #sky above #Belgrade http://t.co/9s45JksLU8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Za Majinu dobrodošlicu kuvamo malo @damnjanovicmaja @ana_dimitri http://t.co/53zUeJQMMf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
S' tobom krv sam __promenila__ sebe sam __pobedila__!!! (teretani)	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Napravite spot na temu spinovanja u medijima i osvojite tablet. #medijskapismenost http://t.co/EILO5AxjnJ via @sharethis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Reklama za __mleko__ bez laktoze olakšava probavu	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Dobra vam noć prijatelji.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	- (FN)	-	-	-	-	-	-	-	-	-	latin
Svađam se __sa komšijom__ da prestane __sa paljenjem__ izolacije __sa bakra__ jer ekologija, đeca, veš.. a on meni "vi muziku stalno puštate!" #džungla	-	-	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Trening! #me #now #dance #dancers #acrobatic #salsa #dancesport #latinoamericandancers #ballromdance… http://t.co/ES3g6e2AFa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
(Pred)__osjećaj__.	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Danas me sve __nece__ pa me hoce.	-	e (FP)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
#balasevic #emocije http://t.co/fZuMaF6It4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Alo ne bi bolje. (@ Mala ponta) https://t.co/cHNUCmAkzU	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Unlocked the "JetSetter" badge! http://t.co/In25yqZcqr http://t.co/2bycjChvem	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @TitoBujos: Ne daj boze da nije izmisljen italijanski jezik, ja ne znam kako bi nam se zvali butici, restorani i prodavnice.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Povraća mi se od ovih ljubavnih parova!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
OOO KOOOO-CNO !! #XFactorAdria E OVO JE X FACTOR !! Bravo DETE !!	-	- (FN)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Jel ti mama zna da se radiš sam?	-	-	-	-	-	-	-	-	-	-	-	jeli	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Danas 29.??? AAAAAA JA ZA 2 DA- KREĆEM SA TRENINZIMAAAAAAAA	-	-	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Bilo bi zanimljivo da je realno.. https://t.co/5VAO9J3lDp	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@x_nannerl_x ako bude trebalo konstruisat cu neku antenu na vrh zgrade da uhvatim barem HRT2 da gledam normalne emisije i prenose SP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i-drop	-	da	-	-	- (FN)	-	0	latin
@TatjanaTasha1 Minut do kraja.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i-drop (FP)	-	-	-	-	-	-	1	latin
Živ se čovjek na sve navikne pa valjda ću ja, ako Bog da, ako Bog da...	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@anapraseee @katarinaobrado6 stvarno uzas	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@drasko90 jeeeeee :))	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @_BAZILEUS: Od "Nisi tviteraš ako ne mrziš svoj razred" i sličnih izliva gluposti i kretenizma mi se živi u savani Kao divokoza	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ne volim __personalizovane__ __pesme__	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ovati	0	latin
Preporučujem: Pjesma o planu __dvije__ sestre, Save i Drine, da ujedine __braću__ na Balkanu http://t.co/wm0iR0xLGR	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	synt-future (FP)	da	-	-	-	-	0.2	latin
smrt filozofiji politike	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Pitam se __da li__ neko iz moje skolice ima tviter	-	-	-	-	-	-	-	-	-	-	-	dali	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Šta ja da kažem za ljude mojih godina kojima je najvažnije __da li__ će __biti__ pozvani na nečiju svadbu? ...	-	-	-	-	-	-	-	-	-	-	sta	dali	-	-	-	-	-	-	-	inf-i	-	da	-	-	-	-	0.14	latin
Nije mi provokativan avatar, ma a-a hahah	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
I'm at Oleander Fast Food http://t.co/bcjxF7S1yy	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
I'm at Pravni fakultet in Belgrade, Serbia https://t.co/e1usEcfOJo	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
jetzt sollte ich eigentlich auf deutsch schreiben... erst mal was essen.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @IsidoraDora2: ne možeš ti da budeš online koliko nećeš da mi se javiš.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@-XIStaxi dobracina 29a	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
SPONDŽA SAM GLEDALA JUČE GLEDAM GA I DA-S LOVEYYY	-	-	-	-	r-drop	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Dear all, knjigu "Moja ljubav Nikola Tesla" možete od skoro __naći__ i u Gradskoj biblioteci u Beogradu, tako... http://t.co/zHnheixqsV	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.5	latin
@whitemamba90 Nema __veceg__...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	og	-	-	0	latin
Ovo doba je sjajno i iz razloga __sto__, __ko__ god ne zna __sta__ ce sa sobom proglasi se za blogera ili dizajnera i ima moderno zanimanje.	-	-	-	-	-	-	-	-	-	ko	both	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ceo dan citaam knjigu,ne mogu da se odvojimm od njee aaaa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Otkad te znam svaki dan je praznik	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@milenabugattiv :-( __kupićemo__ __drugu__...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	drug (FP)	-	-	synt-future	-	-	-	-	-	1	latin
Stoko jedna Babicu, Risticevicu i ostala bagro.. koliko vama leze para, __mesecno__ na racun za toliki ulaz u bulju Vucica?! LOPOVI	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@MDCDG Sigurno slucajno :)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@KatarinaMojic @JanjicDragan Istorija Srbije je iskljucivo usmeno predanje, samo je danas Zeljko Mitrovic __umesto__ Filipa Visnjica.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
I tako svako __vece__,borba za presto http://t.co/jVZJSUisvo	-	-	-	-	r-drop	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Diž' se da igramo ča ča ča..	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
cij dan traje u petoj.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Živojin znači život.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @Snajper86Kalanj: Kakva su vremena došla, __devojka__ __sa brkovima__ drži za ruku decka počupanih obrva! #tuga	-	e	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @MrRSBGD: Evo šta sve ume Duško Vujošević http://t.co/N9N5eRvAH7	-	-	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Mama: Kiko pa dodji __sedi__ __sa mnom__. Uvem sidjem i __uvek__ se zajebem...	-	e	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Drug mi http://t.co/rHWf6NepkU	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	drug	-	-	-	-	-	-	-	-	-	latin
@la_prohibida babe see you in some days on the island :)	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@granica_bez __sta__ se radi __sa time__? Kasikom? Iz case? Slamcicom?	-	-	-	-	-	-	-	-	sa-dev	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@Necovek pa to ti kazem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Svako od vas twiterasa smatra 80% Srbije politicki nepismenom. I otkud onda iznenadjenje zbog 50% sns glasaca. Milosevic je 91. imao 84%.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@MiljanVanDeKamp pa ja vidim tizere po yt, pusta ih handanovic po fejsu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ne slikaj se pijan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@little_Maraja Nema ni jabuka?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @Preduhitrivach: kad pas krene da humpuje komsinici nogu onda kao hehe vidi ga blesan a kad ja to uradim onda odma vristanje policija pi…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Stručnjak sam za omasivanje buseva.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Koliko samo kriticara sa 2 lica, 4 uva, nekoli inom svojih i tudjih ociju, pravih intelektualaca. Zadivljen sam uz posvetu ČIBE	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
💛Televisa presenta💛 Rodi se ljubav između studenta medicine i njegove prve pacijentkinje na __vežbama__ iz ginekologije. 😍💗💖	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
chitam Njen mail o chudnom encounteru __sa mnogim__ mojim bivshima i mislim se: OOO SUZE MOJE UZALUD PROLIVENE!!!	-	-	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
nije da se zalim al meni je vec vruce	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Rucak :) (@ Pirates Karaka - @karakazagreb w/ @gfk_lazenby) http://t.co/dZ31Jbd0pf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
http://t.co/Kqp4ymbl	website	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Pitao sam nekog __da li__ želi hot dop, ja serem , ooo živote	-	-	-	-	-	-	-	-	-	-	-	dali	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
